title,link,views,watched
CppCon 2018: Nir Friedman “Wise Enum: A C++ Smart Enum For All Your Reflective Enum Needs”,https://www.youtube.com/watch?v=GCkhcT2oxCA,4671,
CppCon 2018: Victor Ciura “These Aren't the COM Objects You're Looking For”,https://www.youtube.com/watch?v=T_1zutIBHs0,4665,
CppCon 2018: Alisdair Meredith “Contract Programming in C++(20) (part 1 of 2)”,https://www.youtube.com/watch?v=aAFRxRznVjQ,4656,
CppCon 2018: Victor Ciura “Better Tools in Your Clang Toolbox',https://www.youtube.com/watch?v=4X_fZkl7kkU,4531,
CppCon 2018: Panel “Software Security”,https://www.youtube.com/watch?v=Vgirordcrsw,4514,
CppCon 2018: Panel “Software Security”,https://www.youtube.com/watch?v=Vgirordcrsw,4514,
CppCon 2018: Panel “Software Security”,https://www.youtube.com/watch?v=Vgirordcrsw,4514,
CppCon 2018: Jeff Trull “Qt Signals and the Coroutines TS”,https://www.youtube.com/watch?v=2wz0r2FfJmg,4502,
CppCon 2018: Borislav Stanimirov “DynaMix: A New Take on Polymorphism”,https://www.youtube.com/watch?v=ckY7Pc-A9Xc,4494,
"CppCon 2018: “Multi-Precision Arithmetic for Cryptology in C++, at Run-Time and at Compile-Time”",https://www.youtube.com/watch?v=G33yF26UGMo,4422,
"CppCon 2018: Jens Weller “Generating UI with C++, boost & Qt”",https://www.youtube.com/watch?v=L0ipwl5uXCE,4413,
CppCon 2018: Timur Doumler “Class template argument deduction in C++17”,https://www.youtube.com/watch?v=UDs90b0yjjQ,4285,
CppCon 2018: Kevin Carpenter “Scaling Financial Transaction using 0MQ and JSON”,https://www.youtube.com/watch?v=XLSckGMyzbs,4239,
CppCon 2018: Victor Ciura “Regular Types and Why Do I Care ?”,https://www.youtube.com/watch?v=h60zqdzIelE,4226,
Especially nasty bug in our network scanner -  Martin Šmarda [ CppCon 2018 ],https://www.youtube.com/watch?v=FiOkJN1UUQY,4212,
CppCon 2018: CJ Johnson “Constexpr and operator overloading: Why everything is terrible”,https://www.youtube.com/watch?v=a8-VaKuK594,4056,
CppCon 2018: Patrice Roy “Pessimistic Programming”,https://www.youtube.com/watch?v=pnSvUbE1HHk,4035,
Smart References: There and Back Again - Erik Valkering [ CppCon 2018 ],https://www.youtube.com/watch?v=bfm9m3xJQRY,4003,
CppCon 2018: Serge Guelton “Frozen data structures in C++14”,https://www.youtube.com/watch?v=vA5sdxbwUG8,3996,
Overloading: The Bane of All Higher-Order Functions - Simon Brand [ CppCon 2018 ],https://www.youtube.com/watch?v=L_QKlAx31Pw,3972,
CppCon 2018: James Bennett “Refactoring Legacy Codebases with LibTooling”,https://www.youtube.com/watch?v=tUBUqJSGr54,3868,
CppCon 2018: “The Landscape and Exciting New Future of Safe Reclamation for High Performance”,https://www.youtube.com/watch?v=nvfzQAUpunI,3801,
CppCon 2018: Pablo Halpern “Using Compile-time Code Generation to build an LLVM IR Pattern Matcher”,https://www.youtube.com/watch?v=DUEkxJ9YxMY,3781,
CppCon 2018: Thomas Rodgers “Bringing C++ 17 Parallel Algorithms to a standard library near you”,https://www.youtube.com/watch?v=-KT8gaojHUU,3689,
CppCon 2018: “Implementing the C++ Core Guidelines’ Lifetime Safety Profile in Clang”,https://www.youtube.com/watch?v=sjnp3P9x5jA,3593,
"CppCon 2018: Crafting EDSL In C++ using Metaprogramming, Operator Overloading, & Lambda Expressions",https://www.youtube.com/watch?v=ijh3Tse5L8s,3579,
CppCon 2018: Diego Rodriguez-Losada “Why not Conan (part III)?”,https://www.youtube.com/watch?v=c1msH54wYKI,3461,
CppCon 2018: Billy O'Neal “Inside Visual C++' Parallel Algorithms”,https://www.youtube.com/watch?v=nOpwhTbulmk,3385,
CppCon 2018: Bob Steagall “Fancy Pointers for Fun and Profit”,https://www.youtube.com/watch?v=_nIET46ul6E,3285,
CppCon 2018: Jon Cohen “Ensuring Exception Safety Through Testing',https://www.youtube.com/watch?v=XPzHNSUnTc4,3251,
CppCon 2018: Arno Schoedl “Range-Based Text Formatting For a Future Range-Based Standard Library”,https://www.youtube.com/watch?v=uCybqSX1idU,3170,
CppCon 2018: Walter Brown “Communicating via Diagnostics: Observations and Tips for Authors”,https://www.youtube.com/watch?v=GNhwzTlcDp0,3156,
CppCon 2018: Rishi Wani “Datum: A Compact Bitwise Copyable Variant Type”,https://www.youtube.com/watch?v=YdzbrFerlRY,3134,
CppCon 2018: Matthew von Arx “Set it and forget it!”,https://www.youtube.com/watch?v=Dm0OMYUZ06A,3086,
CppCon 2018: Stephen Dewhurst “Talking to Typelists”,https://www.youtube.com/watch?v=oK7hdBoxRcs,3052,
CppCon 2018: Mike Shah “Let's Intercept OpenGL Function Calls...for Logging!”,https://www.youtube.com/watch?v=DMNFb5ycpNY,3024,
CppCon 2018: Jon Cohen & Matt Kulukundis “Touring the Tips of the Week Series”,https://www.youtube.com/watch?v=THDpfWG5T7Y,2971,
CppCon 2018: John McFarlane “SG14: CppCon Report”,https://www.youtube.com/watch?v=tEH_9f8StQ0,2971,
"CppCon 2018: Michael Price “Concepts and Contracts: When, What, and How”",https://www.youtube.com/watch?v=Vj2vuoPJNfE,2932,
CppCon 2018: Alisdair Meredith “Contract Programming in C++(20) (part 2 of 2)”,https://www.youtube.com/watch?v=7RWJQLpmrS0,2919,
CppCon 2018: Marshall Clow “Development strategies: You've written a library - now what?”,https://www.youtube.com/watch?v=bfWxNoyRrXs,2851,
Zero-Overhead Compiler Pessimization -  Chuck Wilcox [ CppCon 2018 ],https://www.youtube.com/watch?v=AmmTNBUuqPA,2635,
CppCon 2018: Anastasia Kazakova “Talk to me! The art of reporting a bug (and handling the feedback)”,https://www.youtube.com/watch?v=V1nc9riqksY,2621,
CppCon 2018: Peter Sommerlad “Woes of Scope Guards and Unique_Resource - 5+ years in the making”,https://www.youtube.com/watch?v=O1sK__G5Nrg,2586,
CppCon 2018: Gabor Horvath “Dealing with aliasing using contracts”,https://www.youtube.com/watch?v=mWK0ZO8xOoY,2583,
CppCon 2018: Serge Guelton “C++ in Elvenland”,https://www.youtube.com/watch?v=CVg7CYVV3KI,2506,
Using Template Magic to Automatically Generate Hybrid CPU/GPU-Code -  Elmar Westphal [ CppCon 2018 ],https://www.youtube.com/watch?v=Xd4NVV-Uy0I,2494,
CppCon 2018: Adi Shavit “The Salami Method for Cross Platform Development”,https://www.youtube.com/watch?v=ZSpGNiUvXVI,2492,
"CppCon 2018: Jean-Louis Leroy “Open is Good - yomm2: Fast, Orthogonal Open Methods”",https://www.youtube.com/watch?v=xkxo0lah51s,2474,
CppCon 2018: Takatoshi Kondo “Wandbox: Online programming language testing environment”,https://www.youtube.com/watch?v=To-hsQeNmVE,2439,
CppCon 2018: Michał Dominiak “Co- and Contra-: Adding a Little Variance”,https://www.youtube.com/watch?v=nlxA7CWfy78,2334,
CppCon 2018: Anna Gringauze “Static analysis for concurrent C++ in Visual Studio”,https://www.youtube.com/watch?v=p5iwbuAFpUo,2264,
What Bug Hunting Taught Me About Hunting Bugs - Adi Shavit [ CppCon 2018 ],https://www.youtube.com/watch?v=NuAQRPeV_Yk,2211,
CppCon 2018: Mathieu Ropert “Early Modern C++: How to Handle a C++03 Codebase in $CURRENT_YEAR”,https://www.youtube.com/watch?v=76uHxUi6L5g,2070,
CppCon 2018: William Clements “Save $$ Testing Code the Playback-Based Way”,https://www.youtube.com/watch?v=DcNYQ4qFpiI,2063,
CppCon 2018: Vincent Reverdy “Custom Overload Sets and Inline SFINAE for Truly Generic Interfaces”,https://www.youtube.com/watch?v=WBTNCYT20f0,2012,
